id,date,like,text,hashtag
momuczzi,2021-09-28 00:00:00+00:00,영상,14시간,"['#캠핑요리', '#고기지겨우면', '#마켓컬리', '#닭발', '#막창구이', '#추천😋', '#불멍타임']"
,2021-09-28 00:00:00+00:00,영상,,[]
seossang1982,2021-09-28 00:00:00+00:00,영상,임실치즈마을 요거트 완전 강추합니다💚 . . . 15시간,"['#1982', '#서면옷가게', '#데일리', '#데일리룩', '#마켓컬리', '#좋아요', '#이뻐요', '#초바니요거트', '#집밥', '#셀피', '#셀스타그램', '#팔로우', '#맞팔', '#instagood', '#instadaily', '#ootd', '#selfie', '#streetstyle', '#daily', '#dailylook', '#follow']"
suliyahgi,2021-09-28 00:00:00+00:00,영상,ෆ 🏄🏻‍♂️ 빅웨이브 🏄🏻‍♂️ alc. 4.4 🏄🏻‍♂️ 향이 가득한 에일맥주 🏄🏻‍♂️ 개인적으로 에일맥주를 선호하진 않지만 빅웨이브는 사랑이죠 지금은 편의점에서 파는 대중적인 맥주가 되었지만 몇 년 전까지 마트만 가면 무조건 사와서 먹었던 파도맥주..ㅎㅎ 15시간,['#suliyahgi']
rang._.22,2021-09-28 00:00:00+00:00,영상,쫀쫀하고 부드러워 메이크업 필수템인 툴루아 하우스 스펀지 건식으로 사용하면 꼼꼼 탄탄한 메이크업! 물을 묻혀 사용하면 촉촉 윤광 메이크업! 피부 표현이 자연스러워요 >< ⠀ 15시간,"['#협찬', '#툴루아', '#마켓컬리', '#코덕스타그램', '#뷰티툴', '#메이크업퍼프', '#메이크업아티스트', '#뷰티', '#뷰티스타그램', '#beauty', '#photo', '#daily']"
v_meloncollie,2021-09-28 00:00:00+00:00,영상,"210928 마켓컬리 에서 판매하는 냉동된 생각이상으로 괜찮아서 놀랬어요 김밥을 냉동하다니?!!!😨 했는데!!! 아무래도 렌지에 데우니까 물기가 생기지만 맛이 그걸 커버했어요 물론 무조권 먹어야합니다는 아니고 오 괜츈한데? 정도입니다만ㅋㅋㅋ 사진이외 알프로바나나에 콜드브루탄 라떼, 먼치볼 양파맛을 간식으로 먹었습니다 어제 클하 정관스님의 말씀을 듣고 잠자기전까지 많은 생각을 했어요 처음에는 나누는 대화도 올라와 물어보신 질문에 대한 것도 우리가 원하는 명료한 대답이 아니라는 생각을 했거든요? 예를들어 우리가 1+1은 무엇인가요?라고 했을때 계산의 답을 알고 싶었는데 정관스님의 말씀은 우리가 말하는 질문의 본질을 뚫고 계셨어요 정답은 2인데 중요한건 2가 아니었던거예요 1+1이 왜 궁금한지 2인걸 깨닫는 그 과정을 알려주시는 것 같았어요 흔들리는 사람은 말도 꾸밈도 타인이 어떻게 볼지 신경쓰지만 흔들리지않는 사람은 어떠한 꾸밈도 필요없다는 생각도 들었습니다 너무 뜻깊은 시간이었어요 월채토 최고예요 15시간","['#비건김밥', '#폭신톳두부']"
k.chaehee0515,2021-09-28 00:00:00+00:00,영상,시책으로 나온 적립금으로 마켓컬리 장보기.. 10만원어치 배송시켰더니 아이스박스 크기보고 깜놀😲 무거워어~~~~ 열어보니 뭐없네? 아들아 미안 엄마 다이어트식단만 한가득 아들 먹을껀 붕어빵뿐.. 그래도 널위해 과일도샀어ㅋㅋㅋㅋㅋ 환경을위해 아이스팩 대신 100%워터아이스팩&드라이 아이스 다 좋은데..... 과일이 쪼큼 싱싱하지가않네에??😭 그래도 우리집 과일킬러는 혼자 또 순삭☺ 맛만좋음됐지 아직남은 적립금도 써야되는데ㅋㅋㅋㅋㅋㅋㅋ 무튼 잘먹겠습니다😍 16시간,"['#마켓컬리', '#시책금', '#나의보너스', '#룰루랄라💓', '#나의양식', '#너와의양식', '#장보기']"
missdal_official,2021-09-28 00:00:00+00:00,영상,". 어제의 저녁. 소고기꽃살부타동 🥩 🐂 🐮 밥위에 올려먹을꺼라 고기간 짭짤달다구리하게요. 그래서 위 큰 기미상궁은🎎 이번에도 컬리이모님 타레소스로 기막힌 간을 재현합니다.🤣 가지,토마토,양파 같이 달달 볶아 사이드로 같이 올리면 ""맛있으면0칼로리부타동""완성🎊 돼지고기얇게 슬라이스도 맛있어요👍 컬리이모님 솜씨라면 실패가 없답니다. 16시간","['#오늘저녁은', '#누룽지에김치', '#스타벅스50주년이선물한', '#공사다망애미', '#공짜라서피곤해', '#마켓컬리', '#마켓컬리추천', '#마켓컬리장바구니', '#스테이크덮밥', '#부타동', '#맛있으면0칼로리']"
merry__jin,2021-09-28 00:00:00+00:00,영상,그릭요거트+샤인머스캣+그래놀라+꿀 조합 💚 진짜 넘넘 맛있다 🙈 . . . 16시간,"['#온더테이블', '#마켓컬리', '#id_flowerg46', '#그릭요거트', '#그릭데이', '#그릭샤인머스캣']"
hey.anothers,2021-09-28 00:00:00+00:00,영상,비오는날은 집 밖에 나오기 싫지용~ 딸기로 상큼한 하루 보내세요:) 제로스쿱 딸기아이스크림은 순식물성으로 우유 유제품 동물성원료를 사용하지 않고 만들었습니다:) 우유를 못 드시거나 두유를 못드시는 분들 안심하고 드세요 16시간,"['#오늘딸기해', '#리얼스트로베리', '#비건']"
