Code,Imported value in 2017,Imported value in 2018,Imported value in 2019
841182,30794,29239,3863
851020,7664,9110,16519
701310,48211,41530,54842
730793,70583,36159,41349
260200,42248,40463,42467
740819,57546,22569,21075
903290,15477,27595,33731
860800,23853,27609,23635
391390,23653,38405,35051
230910,17732,20042,22448
240311,47163,22865,22741
852869,27032,46721,36437
300610,47458,38572,45104
551511,12340,11435,29280
120729,41292,33168,40255
380891,27198,27374,30165
847410,9437,7998,23420
851110,25609,25383,34557
852349,535179,150448,40799
761410,12744,5228,4819
850980,15185,20939,24239
730721,39335,46317,39567
731100,47497,36688,45087
940370,27782,27465,35401
292219,8895,21556,18414
820590,32592,19144,22037
30211,41,55,373
851650,22911,21141,21177
401519,18736,17591,22342
392310,32865,34145,32068
902212,25948,22291,17653
320649,10439,13353,14942
850434,21225,21444,12940
902110,18807,54897,49704
900490,7970,6738,8492
848120,18605,26289,32066
720916,6864,9870,15796
760719,54421,50800,46794
190190,29298,19169,24048
840219,24901,38444,21450
294190,41209,20982,25395
820713,27986,14091,7028
902000,18874,19118,14101
850819,16385,12408,15063
852990,200187,257354,93437
401590,4410,6863,5686
40229,129718,91081,58610
853110,36414,37345,34964
721790,18476,13929,14718
841821,25278,14642,17333
950590,24711,22363,27879
40210,113327,130581,43298
740911,20866,22227,21569
701912,28160,25840,33283
320611,13931,15188,22421
680291,15066,27142,22493
902680,21383,27310,19770
91020,14682,16751,19933
854790,38381,23237,24678
381511,8106,3602,33771
830249,48537,47866,47910
847710,27816,18828,14024
851632,19397,15958,23561
720610,36785,32286,39827
842410,49857,43050,39729
854140,13967,46134,142315
480411,38198,42447,22249
30319,7925,6701,9978
70610,20100,30336,28535
391910,37727,38833,43056
730640,37668,21955,30210
841780,11677,20001,20369
610462,22241,18977,16586
620920,26165,30578,50479
903010,16730,21568,26007
850431,33552,32976,27184
940169,63698,34197,42251
840682,63187,9791,4271
320740,7485,6932,12463
151329,19038,47638,34375
691200,12537,14028,28510
851290,39619,34774,49339
854590,12105,112145,80193
842710,25744,19486,16559
851822,20189,22942,34691
392321,34123,27565,28223
731822,27414,30404,30528
846594,2155,2038,1636
330730,14986,16308,26581
860799,15131,17766,13501
730792,33467,35839,40086
320820,19950,21774,22970
841990,20840,145344,84797
850131,29081,26904,33334
853120,10964,21572,57134
854720,8743,5795,5783
30244,18689,20409,20053
847720,24333,21953,24199
831110,27970,36594,30747
721633,38188,33902,43695
853630,36237,26774,30990
390740,28438,30709,18770
851629,27730,29531,16611
610463,9875,16167,8835
840690,131674,48324,37553
200919,8032,8573,40270
441112,16526,14581,20404
950699,31340,31878,35208
481029,21985,37663,28726
901849,42862,43192,44204
380899,13337,11048,7197
841221,16554,13410,19751
940130,14896,16410,19903
842940,6985,13872,27404
130190,16703,18760,30944
848071,26039,25082,21862
844190,20799,16551,18285
842430,28368,22652,26761
900220,1690,2622,4136
482390,23037,31067,31445
30499,13300,33539,35197
940421,20695,19312,23892
440726,50466,28586,9904
300660,12438,19553,16291
850152,11716,10391,20894
610831,18910,19631,17812
70960,20278,21543,20600
400211,19999,20165,27308
390799,30531,38626,30908
960321,33718,31911,32905
300390,14199,19732,58678
940560,16101,15326,22447
730512,70292,24718,4458
960810,31258,36334,33642
732310,16250,8277,10033
